CodigoEstacion;CodigoSensor;FechaObservacion;ValorObservado;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud;DescripcionSensor;UnidadMedida
24035340;71;7/07/2024 0:00;98;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
35195060;68;7/07/2024 0:00;93;TOQUILLA;BOYACµ;AQUITANIA;META;5523611111;-7279097222;TEMPERATURA DEL AIRE A 2 m;øC
35235010;68;7/07/2024 0:00;5;CARDON EL;BOYACµ;SOCOTµ;META;6011666667;-7252927778;TEMPERATURA DEL AIRE A 2 m;øC
26085160;68;7/07/2024 0:00;224;SILOE;VALLE DEL CAUCA;CALI;CAUCA;34255;-7656061111;TEMPERATURA DEL AIRE A 2 m;øC
2403000117;68;7/07/2024 0:00;118;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:00;118;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
35165000;68;7/07/2024 0:00;115;EL TUNEL;BOYACµ;CUÖTIVA;META;5574972222;-72941;TEMPERATURA DEL AIRE A 2 m;øC
24035340;68;7/07/2024 0:00;98;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:02;119;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/07/2024 0:02;98;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:04;117;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:06;116;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:08;116;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/07/2024 0:08;98;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/07/2024 0:10;97;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:10;118;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:12;119;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/07/2024 0:14;97;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:14;119;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/07/2024 0:16;98;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:16;12;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:18;12;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:20;12;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/07/2024 0:20;99;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:22;119;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/07/2024 0:22;98;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:24;118;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:26;118;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:28;119;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:30;12;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/07/2024 0:30;98;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/07/2024 0:32;121;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/07/2024 0:32;97;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
