CodigoEstacion;CodigoSensor;FechaObservacion;ValorObservado;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud;DescripcionSensor;UnidadMedida
21195502;68;07/01/2019 03:00:00 AM;133;AGUAS CLARAS - CAR;CUNDINAMARCA;SAN BERNARDO;ALTO MAGDALENA;4145;-74428;Temp Aire 2 m;°C
21205521;68;01/21/2020 02:20:00 AM;9047;SANTA HELENA  - AUT;CUNDINAMARCA;LA CALERA;ALTO MAGDALENA;4738;-73936;Temp Aire 2 m;°C
21205514;68;07/01/2019 06:30:00 PM;12165;LAS MARGARITAS  - AUT;CUNDINAMARCA;EL ROSAL;ALTO MAGDALENA;4469;-74079;Temp Aire 2 m;°C
35075090;68;07/01/2019 04:30:00 AM;10624;MACHETA - CHIVOR;CUNDINAMARCA;MACHETÁ;META;5083;-7365;Temp Aire 2 m;°C
21205515;68;01/21/2020 09:40:00 PM;9103;MERENGO  - AUT;CUNDINAMARCA;SOACHA;ALTO MAGDALENA;47;-74174;Temp Aire 2 m;°C
21205514;68;01/21/2020 09:40:00 PM;11678;LAS MARGARITAS  - AUT;CUNDINAMARCA;EL ROSAL;ALTO MAGDALENA;4469;-74079;Temp Aire 2 m;°C
21205940;68;01/21/2020 12:00:00 PM;137;VILLA INES  - AUT;CUNDINAMARCA;FACATATIVÁ;ALTO MAGDALENA;4834972222;-7438397222;Temp Aire 2 m;°C
24015508;68;07/01/2019 07:00:00 AM;13225;HACIENDA LA MESA  - AUT;CUNDINAMARCA;PASCA;ALTO MAGDALENA;4308;-74282;Temp Aire 2 m;°C
21237060;68;07/01/2019 02:30:00 PM;22519;CORRALITOS PULI;CUNDINAMARCA;PULÍ;ALTO MAGDALENA;4633;-7465;Temp Aire 2 m;°C
21205525;68;01/21/2020 10:20:00 AM;16029;VILLA PINZON  - AUT;CUNDINAMARCA;VILLAPINZÓN;ALTO MAGDALENA;5229;-73585;Temp Aire 2 m;°C
21205505;68;07/01/2019 06:00:00 PM;131;PTAR TOCANCIPA - CAR;CUNDINAMARCA;TOCANCIPÁ;ALTO MAGDALENA;497;-73918;Temp Aire 2 m;°C
23065506;68;07/01/2019 06:40:00 AM;9248;BELLAVISTA  - AUT;CUNDINAMARCA;FACATATIVÁ;ALTO MAGDALENA;4861;-74405;Temp Aire 2 m;°C
21205524;68;07/01/2019 11:00:00 PM;9138;VETA LARGA  - AUT;CUNDINAMARCA;ZIPAQUIRÁ;ALTO MAGDALENA;5075;-74057;Temp Aire 2 m;°C
21205527;68;07/01/2019 04:10:00 AM;9149;ALTO DEL AIRE  - AUT;CUNDINAMARCA;CUCUNUBÁ;ALTO MAGDALENA;5198;-73805;Temp Aire 2 m;°C
21205511;68;07/01/2019 01:10:00 AM;10443;EL OKAL  - AUT;CUNDINAMARCA;VILLAGÓMEZ;ALTO MAGDALENA;5001;-73733;Temp Aire 2 m;°C
2306500106;68;01/21/2020 12:00:00 AM;177;ALTO DEL TRIGO - AUT;CUNDINAMARCA;GUADUAS;MEDIO MAGDALENA;5001902778;-74537586111;Temp Aire 2 m;°C
